Step,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - blue_player2_reward,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - blue_player2_reward__MIN,SimpleQMIX_everything_varying_blox_gamma0.95_lr0.0001_hidden64_target10__20241214_203620 - blue_player2_reward__MAX
272,,,
304,-7.44,-7.44,-7.44
498,-10,-10,-10
578,,,
805,2.85,2.85,2.85
1112,-7.25,-7.25,-7.25
1419,8.29,8.29,8.29
1726,-3.92,-3.92,-3.92
2033,-26.64,-26.64,-26.64
2340,11.75,11.75,11.75
2647,18.72,18.72,18.72
2954,2.47,2.47,2.47
3261,-6.54,-6.54,-6.54
3367,-9.49,-9.49,-9.49
3674,-5.71,-5.71,-5.71
3954,10.98,10.98,10.98
4044,-5.75,-5.75,-5.75
4351,-1.4,-1.4,-1.4
4658,-8.07,-8.07,-8.07
4965,3.68,3.68,3.68
5272,-12.69,-12.69,-12.69
5370,-7.06,-7.06,-7.06
5524,-11.26,-11.26,-11.26
5831,2.77,2.77,2.77
6138,-3.34,-3.34,-3.34
6445,3.55,3.55,3.55
6752,-7.7,-7.7,-7.7
7059,-10.92,-10.92,-10.92
7366,-8.41,-8.41,-8.41
7673,-5.99,-5.99,-5.99
7980,-9.15,-9.15,-9.15
8082,-9.13,-9.13,-9.13
8389,-13.04,-13.04,-13.04
8478,-7.73,-7.73,-7.73
8584,-10.03,-10.03,-10.03
8677,-8.33,-8.33,-8.33
8984,-14.33,-14.33,-14.33
9291,20.54,20.54,20.54
9598,2.25,2.25,2.25
9694,-5.02,-5.02,-5.02
10001,-3.5,-3.5,-3.5
10308,1.54,1.54,1.54
10615,-10.52,-10.52,-10.52
10706,-7.69,-7.69,-7.69
11013,2.74,2.74,2.74
11320,2.94,2.94,2.94
11627,-6.69,-6.69,-6.69
11934,-19.34,-19.34,-19.34
12241,-8.78,-8.78,-8.78
12548,3.57,3.57,3.57
12855,-3.7,-3.7,-3.7
13162,3.86,3.86,3.86
13469,3.28,3.28,3.28
13776,-2.51,-2.51,-2.51
14083,-3.4,-3.4,-3.4
14390,-3.56,-3.56,-3.56
14484,-10.34,-10.34,-10.34
14791,5.16,5.16,5.16
15098,-14.4,-14.4,-14.4
15405,-1.28,-1.28,-1.28
15712,1.98,1.98,1.98
16019,-12.07,-12.07,-12.07
16326,2.88,2.88,2.88
16633,-14.56,-14.56,-14.56
16940,-15.75,-15.75,-15.75
17247,-5.77,-5.77,-5.77
17554,-3.31,-3.31,-3.31
17861,-2.36,-2.36,-2.36
18168,-4.99,-4.99,-4.99
18274,-6.05,-6.05,-6.05
18369,-8.41,-8.41,-8.41
18676,-6.63,-6.63,-6.63
18983,-2.24,-2.24,-2.24
19290,-20.92,-20.92,-20.92
19386,-9.55,-9.55,-9.55
19480,-11.2,-11.2,-11.2
19573,-10.27,-10.27,-10.27
19880,-8.06,-8.06,-8.06
20187,-5.92,-5.92,-5.92
20494,-12.89,-12.89,-12.89
20801,-2.39,-2.39,-2.39
21108,-7.57,-7.57,-7.57
21415,0.99,0.99,0.99
21722,-9.33,-9.33,-9.33
22029,-15.93,-15.93,-15.93
22133,-8.9,-8.9,-8.9
22440,-7.4,-7.4,-7.4
22747,-9.06,-9.06,-9.06
23054,-4.02,-4.02,-4.02
23361,-27.07,-27.07,-27.07
23668,-32.33,-32.33,-32.33
23975,-12.78,-12.78,-12.78
24282,-7.27,-7.27,-7.27
24589,-8.2,-8.2,-8.2
24896,-8.02,-8.02,-8.02
25203,-14.15,-14.15,-14.15
25510,-21.61,-21.61,-21.61
25817,-17.13,-17.13,-17.13
26124,-13.34,-13.34,-13.34
26431,-16.97,-16.97,-16.97
26738,-15.74,-15.74,-15.74
27045,-17.46,-17.46,-17.46
